Layer,IDs,Label,Parents,Explanation,2nd layer,Description,,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,AO,AP,AQ,AR,AS,AT,AU,AV,AW,AX
3,Activity restrictions,Activity<br>restrictions,Restrictions,Map 3rd layer to 2nd,Restrictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Deposit limit anchor,Deposit<br>limit<br>anchor,Environmental design,Map 3rd layer to 2nd,ED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Messages,Messaging,Operator communication,Map 3rd layer to 2nd,OC,"Prevention messages sent by<br>gambling companies to their<br>customers are typically called<br>""warning"" or ""responsible<br>gambling"" messages (see <br>subtypes for more details)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Direct intervention,Direct<br>contact,Operator communication,Map 3rd layer to 2nd,OC,Direct consumer contact<br>via email/ phone/ in person<br>by the company to discuss<br>safer gambling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Product labelling,Product<br>labelling,Public health campaigns,Map 3rd layer to 2nd,PH,"Government mandated labelling<br>on gambling products (e.g.,<br>electronic gaming machines)<br>to provide consumers with<br>information (e.g., house-edge)<br>or warn them about gambling<br>harms",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Advertisements,Advertising<br>campaigns,Public health campaigns,Map 3rd layer to 2nd,PH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Loss limits,Loss<br>limits,Self-imposed limits,Map 4th layer to 3rd,CPTs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Deposit limits,Deposit<br>limits,Self-imposed limits,Map 4th layer to 3rd,CPTs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Max stake,Max stake<br>limit,Self-imposed limits,Map 4th layer to 3rd,CPTs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Time-outs,Time-outs,Account deactivation,Map 4th layer to 3rd,CPTs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Self-exclusion,Self-exclusion,Account deactivation,Map 4th layer to 3rd,CPTs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Problem gambling self-assessment,Problem<br>gambling self-<br>assessment,Self-assessments,Map 4th layer to 3rd,CPTs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Limiting max stake,Maximum bet<br>amounts,Financial restrictions,Map 4th layer to 3rd,Restrictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Banning use of credit cards,Banning<br>credit card<br>payments,Financial restrictions,Map 4th layer to 3rd,Restrictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Affordability checks,Affordability<br>checks,Financial restrictions,Map 4th layer to 3rd,Restrictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Banning types of gambling,Banning types<br>of gambling,Activity restrictions,Map 4th layer to 3rd,Restrictions,Prohibiting types of gambling/<br>gambling activities such as online<br>gambling or sports wagering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Banning ways of gambling,Banning ways<br>of gambling,Activity restrictions,Map 4th layer to 3rd,Restrictions,Prohibiting means of gambling<br>such as the ability to place<br>in-game bets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Warning messages,Warning<br>messages,Messages,Map 4th layer to 3rd,OC,Messages that warn about<br>problem gambling or<br>gambling harms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Informative messages,Informative<br>messages,Messages,Map 4th layer to 3rd,OC,"Messages that present<br>information about safer<br>gambling (e.g., house-edge<br>or misconceptions about<br>chances of success)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Self appraisal messages,Self appraisal<br>messages,Messages,Map 4th layer to 3rd,OC,Messages that encourag<br>people to consider the extent<br>or impact of their gambling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
